Ticker,Date,Sector,Industry,Open,High,Low,Price,Vol,Change%,Return_1M,Return_3M,Return_6M,Return_1Y,Volatility,RSI_14,SMA_50,SMA_200,Price_to_SMA50,Price_to_SMA200,Avg_Volume_3M,Volume_Trend,Max_Drawdown,Sharpe_Ratio,Market_Cap,PE_Ratio,EPS,Revenue_Growth,Profit_Margin,Dividend_Yield,Payout_Ratio,Debt_to_Equity,ROE,Factor_Score
D05.SI,2024-12-30 00:00:00+08:00,Financial Services,Banks - Regional,41.04973223029553,41.3325080871582,40.98375131688391,41.3325080871582,2347200,0.6888710465814407,0.0378698926541885,0.1671638347190196,0.216023689584293,0.5480735572432096,0.1706823419655184,59.77779154663586,39.45006584167481,34.44181719779968,1.0477170875465256,1.2000675762775588,4300665.698412699,0.5457759715818672,-0.0103813848032813,2.647307041756888,162877046784,15.026178,3.82,-0.033,0.4945,5.33,0.7461,49.719,0.15875,70.08359901290463
S68.SI,2024-12-30 00:00:00+08:00,Financial Services,Financial Data & Stock Exchanges,12.156807353257443,12.166501998901367,12.108335049570131,12.166501998901367,1180600,0.4000023609638026,-0.0225857546311002,0.1162113408804343,0.3517637985049489,0.3303437839298875,0.1561196620571912,56.842728001428526,11.72549798965454,10.061023359298709,1.037610684820033,1.2092708230974052,2321552.698412698,0.5085389622243789,-0.023346362780128,1.9067037113281644,20642729984,31.606558,0.61,0.079,0.45676997,2.28,0.64769995,29.888,0.30133,69.95916917844106
AJBU.SI,2024-12-30 00:00:00+08:00,Real Estate,REIT - Office,2.085391044616699,2.094913368823757,2.0663463962025834,2.085391044616699,2120800,0.4587206540525024,-0.0309733513251218,0.0269698698846785,0.251272514250114,0.2233635881675297,0.232277432441821,51.24597825036498,2.100783104896545,1.85298603951931,0.9926731797090474,1.1254218866957455,8358989.095238095,0.2537148901424176,-0.055709870662121,0.983096934693776,5646854144,12.157894,0.19,0.503,0.96932,4.48,0.3168,56.505,0.11354,67.10948096184704
O39.SI,2024-12-30 00:00:00+08:00,Financial Services,Banks - Regional,15.59629234912702,15.73764991760254,15.549174357925947,15.73764991760254,4092100,1.089593435632663,0.0257984985360009,0.1059602924185114,0.1643817261298747,0.3742889281616637,0.1386807565873478,57.80810372285452,15.209919891357425,13.749266958236694,1.0346964369315963,1.1446173796323504,5323851.603174604,0.7686352485031491,-0.0176470994432381,2.3632899017316844,95971524608,13.11043,1.63,0.065,0.53208,3.93,0.50310004,49.719,0.12198,66.68189914595274
BS6.SI,2024-12-30 00:00:00+08:00,Industrials,Aerospace & Defense,2.7737333400803377,2.811599969863892,2.7453333677426723,2.811599969863892,16635200,1.3651850143559408,0.2272726941593867,0.2122448946025743,0.2172131016404044,1.0846309202356386,0.3756951855467945,69.13768965166881,2.5058266639709474,2.2153736782073974,1.1220249230680586,1.2691312519967015,29535866.33333333,0.5632203170294684,0.0,2.141786399970868,15821068288,9.804878,0.41,0.158,0.303,2.99,0.3041,17.05,0.29443002,64.98210954829572
U11.SI,2024-12-30 00:00:00+08:00,Financial Services,Banks - Regional,33.833370110983864,34.10538864135742,33.76771095925996,34.10538864135742,1738900,0.9439171919903178,-0.0038356768195202,0.130245671832645,0.1835320487422531,0.3569279794171833,0.156066733657564,52.447777927746586,33.13400485992432,29.584129037857057,1.0293168237748402,1.152827199939359,2503589.8412698414,0.6945626521307562,-0.0265060154380147,2.034294201654166,61552209920,13.52,2.75,-0.018,0.39793,3.82,0.6436,49.719,0.09255999,64.79442559378977
AIY.SI,2024-12-30 00:00:00+08:00,Technology,Software - Application,7.309765338897705,7.329574981863587,7.280050638299309,7.309765338897705,229600,0.0,-0.0027027109666478,0.013072401649524,0.005617732083307,-0.0758568150642856,0.2553331579589539,41.8401631775146,7.37662745475769,7.132418403625488,0.9909359505722548,1.024864909100407,586004.7619047619,0.3918056898611258,-0.1079912801323807,-0.1821850703727158,2669386752,27.46875,0.32,0.457,0.19431,1.14,0.2313,41.919,0.28024,63.848211541022074
Z74.SI,2024-12-30 00:00:00+08:00,Communication Services,Telecom Services,2.9715030193328857,2.9810885040970825,2.961917534568689,2.9715030193328857,9661900,0.0,0.0163933289872444,-0.0160994539967557,0.1467043142271564,0.2958690167994016,0.1833593295779844,49.859222778637424,2.9674582195281984,2.687561572790146,1.0013630519810084,1.1056502107402737,22917000.26984127,0.4216040444313754,-0.0624006657403054,1.5055690844538063,85879693312,14.081081,0.37,0.009,0.47967,2.51,0.3325,41.804,0.13003999,62.46173341187579
OV8.SI,2024-12-30 00:00:00+08:00,Consumer Defensive,Grocery Stores,1.595661997795105,1.595661997795105,1.5763206584119545,1.595661997795105,569200,0.0,0.0185184720179474,0.0784314246811528,0.1383665583413815,0.0683640011940431,0.1029021936107159,58.332375402185065,1.5751601576805114,1.471803405880928,1.0130157178078851,1.0841543044534832,1810015.873015873,0.3144723803176329,-0.0119760430422147,0.693840082297304,4014444032,26.7,0.1,0.11,0.0952,2.85,0.6439,29.512,0.26421,62.28506705028798
U10.SI,2024-12-30 00:00:00+08:00,Financial Services,Capital Markets,1.5508618541429884,1.5602043867111206,1.5508618541429884,1.5602043867111206,32500,1.212114697458122,0.0437499656082569,0.0915031927524805,0.2370369999302461,0.3419758609400165,0.1491646690317211,59.34672010319039,1.5086336421966553,1.341503296494484,1.034183742873038,1.1630268749902666,123600.0,0.2629449838187702,-0.0118344066442949,2.0469197803635604,3088176640,12.68,0.25,0.204,0.33113998,3.88,0.4749,69.55,0.10829,61.81610096139536
P8Z.SI,2024-12-30 00:00:00+08:00,Consumer Defensive,Farm Products,0.7667326331138611,0.7667326331138611,0.7623261279546756,0.7667326331138611,167600,0.5780349984479738,0.035714389233421,0.160000100997868,0.282240215467058,0.5924147975683056,0.2306414229194187,54.09728208468236,0.7397647678852082,0.6417409810423851,1.036454649368808,1.1947696278776696,822928.5714285715,0.2036628764864161,-0.0491803533151008,2.1328830745850627,2878679040,13.833333,0.12,0.118,0.14047,5.63,0.9177,19.857,0.19885,60.1349773339432
