Volatility,Return,Sharpe
0.15758232426762728,0.07667887497528089,0.2327600836308769
0.16631956884678015,0.2158024039108871,1.057015750641122
0.11466597139522525,0.04856366039410294,0.07468353766948102
0.28782072076170684,0.2814476920970672,0.8388822439818956
0.1443869086822904,0.13935454321250595,0.688113237683661
0.1057675342482311,0.09007995675109329,0.4734908221794992
0.1509607225291036,0.16729743505292313,0.8432487134418791
0.12311722010016111,0.10323591886914524,0.5136236735827865
0.20634577041321764,0.1893201936536988,0.7236406801781189
0.1593898665822052,0.21065607092963715,1.070683316254747
0.13938798565512572,0.12308460415302262,0.5960671844314536
0.13830768228027196,0.051385809795035195,0.08232232373009155
0.13461662425865403,0.055622335651771354,0.11605056758632133
0.11545003314302259,0.05091909977953217,0.09457857639594869
0.12843988882026303,0.07474047883376353,0.27048044928144455
0.12746052297573185,0.033673015200825177,-0.049638779533169385
0.16541201191821964,0.1415945121839546,0.6141906564450914
0.16180861694223278,0.013247660868544661,-0.16533321671617884
0.12918407130302445,0.03887467330351785,-0.008711032909332115
0.16250908067399947,0.09587027218240549,0.3437978477921721
0.12576500441717595,0.061198286662429664,0.16855473238097846
0.16618940223462328,0.21424939019135153,1.0484988082774935
0.10076539482871251,0.019223582074337667,-0.20618604195398055
0.15087375186417581,0.1505910446586918,0.7330038743800277
0.13366511387342758,0.02905869832773823,-0.08185607564455818
0.14614924074050067,0.16961075614729795,0.8868383817157963
0.1439353982966125,0.15766838300117914,0.8175083015971926
0.17919644548912925,0.1799540883270198,0.7810092881307178
0.2902229383341718,0.27211115051988644,0.7997684533557661
0.18009892736489716,0.17019752769067223,0.7229222827456375
0.13138689608610585,0.14903840734135554,0.8299032140153156
0.2975646099629847,0.3630411389821515,1.085616797717766
0.2028622985197749,0.2294833618732102,0.9340491715602812
0.163561636325372,0.20247332620744093,0.9933461773654177
0.135703929035444,0.10847184789086747,0.504567910284923
0.13765166954726937,-0.09646645218795412,-0.9913897349504486
0.1341615560297145,0.10061163448520617,0.45178094439946515
