Ticker,Company_Name,Confidence,Optimal_Weight,Equal_Weight,Expected_Annual_Return,Factor_Score,ML_Probability
BS6.SI,YZJ Shipbldg SGD,MEDIUM,0.39999999999999947,0.05555555555555555,0.45961916358201305,62.66995088707986,0.7178029678115158
O39.SI,OCBC Bank,LOW,0.22578753053400918,0.05555555555555555,0.13096718679864153,66.56492047544299,0.3582166106558969
P8Z.SI,Bumitama Agri Ltd.,LOW,0.0923541821329572,0.05555555555555555,0.20651750386285295,62.4092836459447,0.45787924347639725
Y92.SI,Thai Beverage,LOW,0.09107129962732086,0.05555555555555555,1.686469585824341,52.274244974141396,0.5203104611996769
OV8.SI,Sheng Siong Group Ltd,LOW,0.060786987705711275,0.05555555555555555,0.0898913174182788,63.25767663519659,0.3610011806931778
AIY.SI,iFAST Corporation,LOW,0.010000000000000711,0.05555555555555555,0.07250531054093594,63.867701511200764,0.465328651609916
QC7.SI,Cordlife Group,LOW,0.01000000000000042,0.05555555555555555,-0.37940969847841205,47.18645117592527,0.6438251790928652
9CI.SI,CapitaLand Investment,LOW,0.010000000000000267,0.05555555555555555,0.023390895035988974,45.131759358701046,0.5439965927952869
AJBU.SI,Keppel Infrastructure Trust,LOW,0.010000000000000212,0.05555555555555555,-0.04401311325443113,67.10948000780944,0.14937141634283185
1D0.SI,Raffles Medical Group,LOW,0.010000000000000156,0.05555555555555555,-0.05192743454785129,54.807922282568036,0.5367716561013379
Z74.SI,Singtel,LOW,0.01000000000000011,0.05555555555555555,0.09331032738790568,62.44898272441615,0.4578117649400704
S68.SI,SGX,LOW,0.010000000000000104,0.05555555555555555,0.06824716079027757,69.9311742795164,0.37237223901525823
U77.SI,Yanlord Land Group,LOW,0.0100000000000001,0.05555555555555555,-0.2057446341496457,37.9211266335212,0.6257016074491307
C09.SI,City Developments,LOW,0.010000000000000038,0.05555555555555555,0.0503090931109302,46.60713738937922,0.5198279750059301
C41.SI,Olam Group,LOW,0.009999999999999993,0.05555555555555555,-0.02657043284819936,54.472619862413175,0.5604195748231255
D05.SI,DBS Group Holdings,MEDIUM,0.009999999999999986,0.05555555555555555,0.0797931755939584,69.98407635183489,0.5313820426228452
U11.SI,United Overseas Bank,LOW,0.009999999999999986,0.05555555555555555,0.0899432778790478,64.6891749313888,0.3807817803408085
CMOU.SI,CapitaLand China Trust,LOW,0.009999999999999986,0.05555555555555555,-0.15329813926818436,37.45810225348137,0.5699378577914721
