Portfolio,Expected_Annual_Return,Annual_Volatility,Sharpe_Ratio
Optimised (Max Sharpe),0.4007233268585634,0.2118119407345286,1.7030358421136922
Equal-Weight,0.12205342654735735,0.1341951446772301,0.6114485493846631
Min Variance,0.05522799579264578,0.07445593904456067,0.20452358788372904
