Date,Open,High,Low,Price,Vol,Change%,Return_1M,Return_3M,Return_6M,Return_1Y,Volatility,RSI_14,SMA_50,SMA_200,Price_to_SMA50,Price_to_SMA200,Avg_Volume_3M,Volume_Trend,Max_Drawdown,Sharpe_Ratio
2020-01-02 00:00:00+08:00,1.4169288654502996,1.493107854287664,1.4093109756478042,1.4854899644851685,88600,,,,,,,,,,,,,,0.0,
2020-01-03 00:00:00+08:00,1.485490054152623,1.5235795054642636,1.4550184022908954,1.4702541828155518,97500,-1.0256401614195387,,,,,,,,,,,,,-0.010256401614195367,
2020-01-06 00:00:00+08:00,1.4474004524782869,1.4626362323760986,1.4474004524782869,1.4626362323760986,14400,-0.5181383279498464,,,,,,,,,,,,,-0.015384642545862182,
2020-01-07 00:00:00+08:00,1.4702540337433754,1.4854899035356497,1.4702540337433754,1.477872014045715,33900,1.041665817676729,,,,,,,,,,,,,-0.005128240931666965,
2020-01-08 00:00:00+08:00,1.477872074682673,1.4854899644851685,1.4626362042652723,1.4854899644851685,111600,0.5154675348780113,,,,,,,,,,,,,0.0,
2020-01-09 00:00:00+08:00,1.4931078563418094,1.5007257461547852,1.4931078563418094,1.5007257461547852,30500,1.0256401614195276,,,,,,,,,,,,,0.0,
2020-01-10 00:00:00+08:00,1.508343635967761,1.5235794155937126,1.5007257461547852,1.5007257461547852,44300,0.0,,,,,,,,,,,,,0.0,
2020-01-13 00:00:00+08:00,1.5083439094927995,1.5083439094927995,1.447400689125061,1.447400689125061,24700,-3.5532846135515106,,,,,,,,,,,,,-0.035532846135515134,
2020-01-14 00:00:00+08:00,1.470254181658602,1.470254181658602,1.455018401145935,1.455018401145935,59000,0.5263029151574283,,,,,,,,,,,,,-0.030456827388990387,
2020-01-15 00:00:00+08:00,1.447400689125061,1.447400689125061,1.416929124347405,1.447400689125061,58000,-0.5235474695628906,,,,,,,,,,,,,-0.035532846135515134,
2020-01-16 00:00:00+08:00,1.4474005108896015,1.455018401145935,1.4474005108896015,1.455018401145935,7800,0.5263029151574283,,,,,,,,,,,,,-0.030456827388990387,
2020-01-17 00:00:00+08:00,1.455018401145935,1.455018401145935,1.455018401145935,1.455018401145935,11800,0.0,,,,,,,,,,,,,-0.030456827388990387,
2020-01-20 00:00:00+08:00,1.4854900529836843,1.4854900529836843,1.455018401145935,1.455018401145935,24600,0.0,,,,,,,,,,,,,-0.030456827388990387,
2020-01-21 00:00:00+08:00,1.4474005693744512,1.4474005693744512,1.4321647882461548,1.4321647882461548,31900,-1.5706751805874997,,,,,,29.966682525764426,,,,,,,-0.04568520136627214,
2020-01-22 00:00:00+08:00,1.4321647303769345,1.455018401145935,1.4321647303769345,1.455018401145935,9500,1.5957390579171449,,,,,,43.443484635043795,,,,,,,-0.030456827388990387,
2020-01-23 00:00:00+08:00,1.4474003898865049,1.4474003898865049,1.4321646106475532,1.4397825002670288,28000,-1.047127711024609,,,,,,38.16995111602016,,,,,,,-0.0406091826197474,
2020-01-24 00:00:00+08:00,1.4245468378067017,1.4550183987825407,1.4245468378067017,1.4245468378067017,6400,-1.0581919461794764,,,,,,33.75709281037554,,,,,,,-0.050761378981650646,
