Date,Open,High,Low,Price,Vol,Change%,Return_1M,Return_3M,Return_6M,Return_1Y,Volatility,RSI_14,SMA_50,SMA_200,Price_to_SMA50,Price_to_SMA200,Avg_Volume_3M,Volume_Trend,Max_Drawdown,Sharpe_Ratio
2020-01-02 00:00:00+08:00,7.280483926324127,7.32138567919616,7.22322194038491,7.247762680053711,3520700,,,,,,,,,,,,,,0.0,
2020-01-03 00:00:00+08:00,7.288665480505927,7.288665480505927,7.075976959111049,7.084157466888428,6263900,-2.2573202295314454,,,,,,,,,,,,,-0.0225732022953145,
2020-01-06 00:00:00+08:00,7.067796372644958,7.108697346289555,7.026894618864296,7.043254852294922,4046100,-0.5773814992775961,,,,,,,,,,,,,-0.028216683794242765,
2020-01-07 00:00:00+08:00,7.116878828752916,7.157780588140955,7.035076090113008,7.0923380851745605,8393700,0.6968828178018471,,,,,,,,,,,,,-0.021444492837339783,
2020-01-08 00:00:00+08:00,7.035076398148377,7.07597737919112,6.936911859264414,7.0187153816223145,7247300,-1.038059701442362,,,,,,,,,,,,,-0.0316024832134403,
2020-01-09 00:00:00+08:00,7.100517613614095,7.206861861299106,7.0759760932848925,7.198681354522705,5021700,2.5640870603132138,,,,,,,,,,,,,-0.006771927793121689,
2020-01-10 00:00:00+08:00,7.255942747983799,7.255942747983799,7.174140027321318,7.190500259399414,2211000,-0.1136471350846934,,,,,,,,,,,,,-0.00790070304204173,
2020-01-13 00:00:00+08:00,7.223223892228719,7.23958490985299,7.1086991092676,7.141420364379883,2272900,-0.6825657916550987,,,,,,,,,,,,,-0.014672433462327448,
2020-01-14 00:00:00+08:00,7.141420364379883,7.182322128304301,7.116879618079735,7.141420364379883,2619900,0.0,,,,,,,,,,,,,-0.014672433462327448,
2020-01-15 00:00:00+08:00,7.165960039076291,7.190500779034919,7.108697272324747,7.133238792419434,2712700,-0.1145650520904428,,,,,,,,,,,,,-0.015801274502192812,
2020-01-16 00:00:00+08:00,7.125059078636841,7.182321071624756,7.100518335947184,7.182321071624756,1683457,0.688078454032448,,,,,,,,,,,,,-0.009029215127180476,
2020-01-17 00:00:00+08:00,7.198682996835712,7.20686350547842,7.141420216473,7.165961742401123,1271000,-0.2277721792230069,,,,,,,,,,,,,-0.011286370879348617,
2020-01-20 00:00:00+08:00,7.165959521214269,7.190500259399414,7.157779015107221,7.190500259399414,897400,0.3424315936979782,,,,,,,,,,,,,-0.00790070304204173,
2020-01-21 00:00:00+08:00,7.17414091353986,7.190501147638929,7.100517909753807,7.125058650970459,1286600,-0.9101120376626026,,,,,,43.00836359232997,,,,,,,-0.016929918169222208,
2020-01-22 00:00:00+08:00,7.149599821326498,7.190501579233356,7.141419313717898,7.182321071624756,1434800,0.8036764812665353,,,,,,50.155995766228415,,,,,,,-0.009029215127180476,
2020-01-23 00:00:00+08:00,7.22322071211975,7.255941952826117,7.198679976623954,7.21504020690918,3074400,0.4555509974858651,,,,,,53.72703936997798,,,,,,,-0.004514837831898872,
2020-01-24 00:00:00+08:00,7.239583220284661,7.24776294705156,7.174140725333015,7.206861972808838,2294100,-0.1133498063186189,,,,,,52.710505590755304,,,,,,,-0.00564321833514697,
2020-01-28 00:00:00+08:00,7.075976546721224,7.231403064888474,7.075976546721224,7.149599552154541,3189800,-0.794554146733284,,,,,,46.129364185429225,,,,,,,-0.0135439213771887,
2020-01-29 00:00:00+08:00,7.116879618079735,7.182322128304301,7.092338871779588,7.141420364379883,2782700,-0.1144006418120735,,,,,,45.26011389989461,,,,,,,-0.014672433462327448,
2020-01-30 00:00:00+08:00,7.206862049299957,7.206862049299957,7.1086975256945255,7.116878032684326,2717900,-0.3436617709548284,,,,,,42.662334232518994,,,,,,,-0.018058627627196924,
2020-01-31 00:00:00+08:00,7.187015508186259,7.220021288313181,7.0962498095671895,7.1787638664245605,3498200,0.8695643434666556,,,,,,50.394121928447966,,,,,,,-0.009520015579295852,
2020-02-03 00:00:00+08:00,7.1540109150787945,7.1540109150787945,7.071496057610388,7.08799934387207,2246300,-1.2643475149948902,-0.02204312464884084,,,,,41.54553650350532,,,,,,,-0.02204312464884083,
2020-02-04 00:00:00+08:00,7.137507035555704,7.195267745750585,7.0962503971707065,7.162261962890625,2507600,1.047723277270873,0.011025234315761523,,,,,49.377589290120305,,,,,,,-0.011796842824115802,
2020-02-05 00:00:00+08:00,7.154010867619584,7.187016653003988,7.104501796082979,7.129256725311279,2755700,-0.4608214241583641,0.01221052976498993,,,,,46.401878145620444,,,,,,,-0.016350694686591675,
2020-02-06 00:00:00+08:00,7.178762930354514,7.294283539195445,7.16226043590282,7.236523628234863,2861600,1.5046014901209936,0.020329761684894976,,,,,55.737875244916786,,,,,,,-0.0015506925812814234,
2020-02-07 00:00:00+08:00,7.228274822235107,7.2612806110020225,7.1787657456246965,7.228274822235107,3046400,-0.1139885174639809,0.02985723586420108,,,,,54.94527982681919,,,,,,,-0.0026888101444374414,
2020-02-10 00:00:00+08:00,7.178762817441976,7.253026008605957,7.178762817441976,7.253026008605957,1686200,0.342421767012957,0.007549251231839582,,,,,56.9246175609812,,,,,,,0.0,
2020-02-11 00:00:00+08:00,7.302536624731294,7.500571318852569,7.302536624731294,7.467565536499023,5618300,2.95793131912816,0.03853212810018736,,,,,69.45195984698022,,,,,,,0.0,
2020-02-12 00:00:00+08:00,7.484068212051572,7.607840489008376,7.475817356457071,7.591337203979492,5806100,1.657456729043938,0.06300103013732583,,,,,74.12690745859395,,,,,,,0.0,
2020-02-13 00:00:00+08:00,7.59133533066281,7.599586971140992,7.533575421155035,7.55007791519165,2548700,-0.5435048882588611,0.05722356757628755,,,,,70.2665526595292,,,,,,,-0.005435048882588572,
2020-02-14 00:00:00+08:00,7.56658358635808,7.63259515719645,7.558331943273285,7.6078410148620605,3424100,0.7650662724179913,0.06653390363813294,,,,,72.43117914170396,,,,,,,0.0,
2020-02-17 00:00:00+08:00,7.63259589072567,7.715110755663707,7.607841746012289,7.706859111785889,3300500,1.3015268948233016,0.07303182842012301,,,,,75.69735797907066,,,,,,,0.0,
2020-02-18 00:00:00+08:00,7.690352655641746,7.690352655641746,7.55007791519165,7.55007791519165,1445100,-2.034307288094539,0.053602877966498985,,,,,62.975331029942545,,,,,,,-0.020343072880945376,
2020-02-19 00:00:00+08:00,7.616092060769704,7.748115992655606,7.607841204399348,7.739864349365234,3464000,2.513701663816104,0.07640137266495373,,,,,69.62936905638796,,,,,,,0.0,
2020-02-20 00:00:00+08:00,7.673852035494114,7.706857818546823,7.525325618296956,7.640846252441406,3693500,-1.2793259991946582,0.07239064641253101,,,,,63.243178471395986,,,,,,,-0.01279325999194661,
2020-02-21 00:00:00+08:00,7.558331241241293,7.5665828835596605,7.467565536499023,7.467565536499023,2474800,-2.267821000677983,0.03971480278167805,,,,,53.92264182090911,,,,,,,-0.03518134176195773,
2020-02-24 00:00:00+08:00,7.37679924887617,7.4675657430489295,7.360296750702907,7.368548393249512,1979900,-1.3259628290578584,0.021276137337853163,,,,,49.438897407986616,,,,,,,-0.0479744785380089,
2020-02-25 00:00:00+08:00,7.376799038688368,7.475817172586399,7.368548183296801,7.409804821014404,1945500,0.5598989863822901,0.028159669072511884,,,,,51.2575225832905,,,,,,,-0.0426440972932425,
2020-02-26 00:00:00+08:00,7.35204318543964,7.385048960074395,7.31078577041626,7.31078577041626,2326900,-1.3363246804736884,0.022544789688695888,,,,,46.89750518113991,,,,,,,-0.055437480501084546,
2020-02-27 00:00:00+08:00,7.335542044274192,7.393301963806152,7.261278840921738,7.393301963806152,3032300,1.1286911692010235,0.0352705185487483,,,,,50.66369610097681,,,,,,,-0.04477628675591769,
2020-02-28 00:00:00+08:00,7.187017286916622,7.236526362820048,6.964227625731299,7.0054850578308105,7319000,-5.245516926995486,-0.0156519437795537,,,,,37.28091883694847,,,,,,,-0.0948827083248109,
2020-03-02 00:00:00+08:00,6.947723980840921,7.228273528610544,6.947723980840921,7.162261962890625,3987000,2.237916486376168,-0.0022987110094421226,,,,,43.749590412728914,,,,,,,-0.07462693923337041,
2020-03-03 00:00:00+08:00,7.261278710201802,7.277781206805328,7.13750644453594,7.1787638664245605,3476800,0.2304007256288098,0.012805379649330817,,,,,44.39961510334859,,,,,,,-0.07249487298659066,
2020-03-04 00:00:00+08:00,7.19526763535229,7.500571318852569,7.137506926043642,7.467565536499023,5087800,4.022999996213872,0.04262669743026004,,,,,54.343519383306756,,,,,,,-0.03518134176195773,
2020-03-05 00:00:00+08:00,7.508822936302631,7.5748345007911,7.434559729523123,7.459313869476318,3864400,-0.1105000951431067,0.046296150760460675,,,,,54.046099382585574,,,,,,,-0.036247467297269194,
2020-03-06 00:00:00+08:00,7.451063858121835,7.47581879041347,7.294286554875281,7.352046489715576,2707700,-1.43803279547845,0.01596386157435803,,,,,50.19986603729272,,,,,,,-0.050106544784788654,
2020-03-09 00:00:00+08:00,7.2860340091572,7.310788151465505,7.071496010698575,7.129256725311279,4332800,-3.030309516077556,-0.013698717793523274,,,,,43.30642791557933,,,,,,,-0.07889125655077309,
2020-03-10 00:00:00+08:00,7.187014332856359,7.706855875032897,7.187014332856359,7.583083629608154,8489100,6.365697319969343,0.04550619570515435,,,,,56.431126590224494,,,,,,,-0.020256261955022257,
2020-03-11 00:00:00+08:00,7.632594304915851,7.649097589242631,7.261279063682305,7.302536487579346,8386000,-3.699644573790695,-0.0220994443387299,,,,,48.89541978867752,,,,,,,-0.056503297996657396,
2020-03-12 00:00:00+08:00,7.211769141564365,7.228272423932157,6.980728696853968,7.170511722564697,9316400,-1.8079302340933912,-0.055434960943928524,,,,,45.79608920133365,7.277177200317383,,0.98534246524215,,,,-0.07356106012984984,
2020-03-13 00:00:00+08:00,6.848706476258661,7.154010157488949,6.700180063312065,6.988981246948242,11663600,-2.531625114637237,-0.0743166725623341,,,,,41.866516104379905,7.272001571655274,,0.9610808218455034,,,,-0.09701502100338154,
2020-03-16 00:00:00+08:00,6.8487065359308446,6.988981307842627,6.642420199227626,6.667174339294434,7189200,-4.604489499729681,-0.1236443655604812,,,,,35.97358691579166,7.263661909103393,,0.917880598343737,,,,-0.13859286954541714,
2020-03-17 00:00:00+08:00,6.74143793620399,6.939472642028643,6.733186293397971,6.74968957901001,10651200,1.2376343487713326,-0.12419709753252217,,,,,38.36903548570917,7.257790603637695,,0.929992327916843,,,,-0.1279317990161457,
2020-03-18 00:00:00+08:00,6.74968957901001,6.74968957901001,6.74968957901001,6.74968957901001,0,0.0,-0.10601060613840352,,,,,38.369035485709176,7.250937633514404,,0.9308712776417237,,,,-0.1279317990161457,
2020-03-19 00:00:00+08:00,6.807449719417435,6.889964576238978,6.584660471611264,6.650672435760498,12334000,-1.4669881050149658,-0.14072493579219691,,,,,36.470099933600046,7.243576774597168,,0.9181475730448592,,,,-0.1407249357921969,
2020-03-20 00:00:00+08:00,6.683678140487369,7.154010772705078,6.683678140487369,7.154010772705078,10654900,7.568232262321972,-0.06371486398915227,,,,,50.01322189555002,7.242683362960816,,0.9877569423082596,,,,-0.07569300316073414,
2020-03-23 00:00:00+08:00,6.691928411465748,6.790945757648284,6.576408174252789,6.7001800537109375,11932900,-6.343724288557895,-0.10276247045136144,,,,,41.4361577544572,7.232876958847046,,0.9263506197925115,,,,-0.13432849062006674,
2020-03-24 00:00:00+08:00,6.873461343990214,7.096250987002911,6.823953059045171,7.08799934387207,8933600,5.788192064276498,-0.03807385585395062,,,,,49.41906176169524,7.23180853843689,,0.9801143526131151,,,,-0.08422176101143493,
2020-03-25 00:00:00+08:00,7.418057993265405,7.418057993265405,7.195269113345487,7.38505220413208,8721200,4.19092674601933,-0.003340522116334954,,,,,54.53153081765264,7.236681175231934,,1.020502634468402,,,,-0.04584216585943826,
2020-03-26 00:00:00+08:00,7.426308631896973,7.467566059458173,7.220022281010945,7.426308631896973,7683400,0.5586477471589024,0.015801702458330347,,,,,55.20867367281886,7.242542572021485,,1.0253731418280359,,,,-0.04051178461467186,
2020-03-27 00:00:00+08:00,7.467565511767358,7.492319651720553,7.269530818301949,7.459313869476318,6218100,0.444436653731084,0.008928609435043589,,,,,55.776091550684924,7.248082427978516,,1.0291430793726106,,,,-0.036247467297269194,
2020-03-30 00:00:00+08:00,7.385049909982644,7.459313109192947,7.27778093189219,7.36029577255249,3512200,-1.327442425087011,0.050647558561996764,,,,,53.58302061125514,7.251969108581543,,1.0149375517668382,,,,-0.049040727289215796,
2020-03-31 00:00:00+08:00,7.550077854878838,7.591335270020419,7.517072080149522,7.583083629608154,8567600,3.0268872874167574,0.05875541398763495,,,,,57.62059961938467,7.259820775985718,,1.0445276630921436,,4597343.761904762,1.8635978607895725,-0.020256261955022257,
2020-04-01 00:00:00+08:00,7.698605386840682,7.698605386840682,7.426307507840133,7.533576488494873,4315000,-0.6528629187205648,0.04942530896298014,0.03943476367234533,,,,56.44560651537095,7.267991132736206,,1.036541783129375,,4609951.698412699,0.9360184839866638,-0.026652645519204675,
2020-04-02 00:00:00+08:00,7.566583446337741,7.673852443695068,7.517074375665136,7.673852443695068,7476100,1.862010101237077,0.02762438524145283,0.08324137055999858,,,,58.99697680235935,7.277821760177613,,1.0544161009389423,,4629192.968253968,1.6149899240039294,-0.0085288194586485,
2020-04-03 00:00:00+08:00,7.632593893903576,7.657348032140836,7.426307572446722,7.500570774078369,6734400,-2.258079248827227,0.005530924871103071,0.06492962861260643,,,,54.731815593703516,7.283532371520996,,1.0297985086749946,,4671864.396825396,1.4414801946255393,-0.030917024444555064,
2020-04-06 00:00:00+08:00,7.607839838279071,7.69860553741455,7.566582416155717,7.698605537414551,5617400,2.640262578690411,0.047137766087817834,0.08548202933349991,,,,58.43055248381681,7.29336724281311,,1.055562579136648,,4627796.142857143,1.2138391205218233,-0.005330689284505009,
2020-04-07 00:00:00+08:00,7.715109855911275,7.921396207278742,7.690354927164793,7.904892921447754,6804500,2.679542198007989,0.10879622182529958,0.12625922147317614,,,,61.92085793623942,7.308473110198975,,1.081606623196913,,4620767.571428572,1.4725908401179977,0.0,
2020-04-08 00:00:00+08:00,7.921396353697783,8.127682708878247,7.896641424493731,8.078173637390137,5598500,2.1920691104142964,0.06528874425819375,0.12217408155104326,,,,64.60895426107447,7.327208175659179,,1.1024899857800747,,4629923.126984127,1.2091993422894673,0.0,
2020-04-09 00:00:00+08:00,8.09467656053521,8.152436485581202,7.946150139651272,8.003910064697266,4146700,-0.9193114189714802,0.09604519995358651,0.11312283929543887,,,,62.57033355715807,7.344948816299438,,1.089716247843076,,4660648.523809524,0.8897259638473162,-0.009193114189714776,
2020-04-13 00:00:00+08:00,7.987407409101249,8.119430541992188,7.937898340807175,8.119430541992188,3100100,1.4433005413747368,0.1323362761462843,0.13694897201268863,,,,64.44946713494413,7.363762149810791,,1.1026198805458176,,4673778.682539683,0.6632962770747711,0.0,
2020-04-14 00:00:00+08:00,8.086425979373356,8.119431767578142,7.880139606363423,7.979156970977783,5992337,-1.727628191274444,0.1416766892115935,0.1173067210517924,,,,60.47894634519969,7.381585302352906,,1.0809543809558633,,4727309.428571428,1.2675999086886212,-0.017276281912744426,
2020-04-15 00:00:00+08:00,7.97915547287493,8.053418679122645,7.97090383064298,8.012161254882812,3846000,0.4136312147395404,0.20173267521465688,0.12321506233569779,,,,61.08639386984598,7.398583288192749,,1.082931818537376,,4745298.317460317,0.8104864526322085,-0.013211429860086636,
2020-04-16 00:00:00+08:00,8.078173254269231,8.127682323409289,8.01216168669579,8.05341911315918,3880800,0.5149404382147615,0.19315399899329755,0.12128363976596312,,,,61.875268686874215,7.417066535949707,,1.0857957218160497,,4780176.777777778,0.8118528205988477,-0.00813005647275495,
2020-04-17 00:00:00+08:00,8.086422357447546,8.193691317797123,8.0616682241114,8.111176490783691,4151500,0.7171783414343436,0.20171104105403526,0.13190340422691849,,,,63.00590894498863,7.434559593200683,,1.091009681084783,,4825899.0,0.8602542241352337,-0.0010165800625804573,
2020-04-20 00:00:00+08:00,8.19369349583748,8.210195993475018,8.119430289168754,8.201944351196289,2439100,1.1190467932208348,0.23325038639621476,0.1406639392683029,,,,64.77394445807711,7.454032983779907,,1.1003364714167283,,4850370.428571428,0.50286880887124,0.0,
2020-04-21 00:00:00+08:00,8.218448543730709,8.366974973477411,8.210196900540335,8.300963401794434,6285896,1.2072631361331077,0.16032302236185614,0.1650379047285193,,,,66.64664971849979,7.4749917316436765,,1.1104980045200845,,4929724.333333333,1.275100913350598,0.0,
