Date,Open,High,Low,Price,Vol,Change%,Return_1M,Return_3M,Return_6M,Return_1Y,Volatility,RSI_14,SMA_50,SMA_200,Price_to_SMA50,Price_to_SMA200,Avg_Volume_3M,Volume_Trend,Max_Drawdown,Sharpe_Ratio,Market_Cap,PE_Ratio,EPS,Revenue_Growth,Profit_Margin,Dividend_Yield,Payout_Ratio,Debt_to_Equity,ROE,Sector,Industry,Ticker
2020-01-02 00:00:00+08:00,0.2349999994039535,0.2450000047683715,0.2349999994039535,0.2399999946355819,1159800,,,,,,,,,,,,,,0.0,,121842088,29.5,0.01,-0.002,0.06427,3.12,0.0,20.776,0.045939997,Industrials,Aerospace & Defense,1J4.SI
2020-01-03 00:00:00+08:00,0.2399999946355819,0.2399999946355819,0.2349999994039535,0.2349999994039535,734200,-2.083331393077914,,,,,,,,,,,,,-0.0208333139307791,,121842088,29.5,0.01,-0.002,0.06427,3.12,0.0,20.776,0.045939997,Industrials,Aerospace & Defense,1J4.SI
2020-01-06 00:00:00+08:00,0.2300000041723251,0.2349999994039535,0.2300000041723251,0.2349999994039535,643200,0.0,,,,,,,,,,,,,-0.0208333139307791,,121842088,29.5,0.01,-0.002,0.06427,3.12,0.0,20.776,0.045939997,Industrials,Aerospace & Defense,1J4.SI
2020-01-07 00:00:00+08:00,0.2349999994039535,0.2399999946355819,0.2349999994039535,0.2399999946355819,45600,2.127657550770312,,,,,,,,,,,,,0.0,,121842088,29.5,0.01,-0.002,0.06427,3.12,0.0,20.776,0.045939997,Industrials,Aerospace & Defense,1J4.SI
2020-01-08 00:00:00+08:00,0.2349999994039535,0.2349999994039535,0.2249999940395355,0.2300000041723251,523000,-4.166662786155828,,,,,,,,,,,,,-0.0416666278615583,,121842088,29.5,0.01,-0.002,0.06427,3.12,0.0,20.776,0.045939997,Industrials,Aerospace & Defense,1J4.SI
2020-01-09 00:00:00+08:00,0.2300000041723251,0.2349999994039535,0.2300000041723251,0.2300000041723251,69400,0.0,,,,,,,,,,,,,-0.0416666278615583,,121842088,29.5,0.01,-0.002,0.06427,3.12,0.0,20.776,0.045939997,Industrials,Aerospace & Defense,1J4.SI
2020-01-10 00:00:00+08:00,0.2349999994039535,0.2349999994039535,0.2349999994039535,0.2349999994039535,4204000,2.1739109308372973,,,,,,,,,,,,,-0.0208333139307791,,121842088,29.5,0.01,-0.002,0.06427,3.12,0.0,20.776,0.045939997,Industrials,Aerospace & Defense,1J4.SI
2020-01-13 00:00:00+08:00,0.2399999946355819,0.2399999946355819,0.2399999946355819,0.2399999946355819,339300,2.127657550770312,,,,,,,,,,,,,0.0,,121842088,29.5,0.01,-0.002,0.06427,3.12,0.0,20.776,0.045939997,Industrials,Aerospace & Defense,1J4.SI
2020-01-14 00:00:00+08:00,0.2399999946355819,0.2399999946355819,0.2399999946355819,0.2399999946355819,459600,0.0,,,,,,,,,,,,,0.0,,121842088,29.5,0.01,-0.002,0.06427,3.12,0.0,20.776,0.045939997,Industrials,Aerospace & Defense,1J4.SI
2020-01-15 00:00:00+08:00,0.2399999946355819,0.2399999946355819,0.2399999946355819,0.2399999946355819,519500,0.0,,,,,,,,,,,,,0.0,,121842088,29.5,0.01,-0.002,0.06427,3.12,0.0,20.776,0.045939997,Industrials,Aerospace & Defense,1J4.SI
