Strategy,Mean_6M_Return,Std_6M_Return,Mean_WinRate,Mean_Sharpe,Mean_MaxDrawdown,Mean_Volatility,Mean_Precision5
Factor Model,0.05075132040253694,0.027818615662719353,0.75,1.1223686928579646,-0.05724951723533956,0.0958905611292178,0.4
ML Model (RF),0.007311466459562748,0.035189524503218404,0.5,0.15081720326000483,-0.09009651996690604,0.11235323232612446,0.4
Hybrid (High Conf.),0.1123212280199429,0.028140847942117974,0.8,2.35968447420276,-0.049141572908307105,0.08942484264453235,0.6
STI Index,-0.01073079875744654,0.031090850085182347,,,,,
Random Portfolio,-0.06418101043615085,0.05791535902519049,0.325,-1.1384004499874567,-0.11040212958876541,0.11538480887457195,0.15000000000000002
Momentum Strategy,-0.04050590207004214,0.06421221330889026,0.45,-0.5823711519105644,-0.1177520232538897,0.12801416069556787,0.35
High-Dividend Strategy,-0.005034897320513515,0.04976513055574782,0.525,-0.0999269233509058,-0.0789346491492206,0.11364256474497639,0.35000000000000003
