Date,Open,High,Low,Price,Vol,Change%
2020-01-02 00:00:00+08:00,4.2051623611079405,4.234314238852504,4.168722340168339,4.2124505043029785,855500,
2020-01-03 00:00:00+08:00,4.22702644317526,4.256178320919824,4.190586422235659,4.2124505043029785,1389500,0.0
2020-01-06 00:00:00+08:00,4.176010791583935,4.219738611428218,4.154146707902884,4.183298587799072,1850600,-0.692041757502615
2020-01-07 00:00:00+08:00,4.168721905806621,4.20516192294934,4.095842219038942,4.117706298828125,1524200,-1.5679561856342894
2020-01-08 00:00:00+08:00,4.081265897363679,4.299905284595799,4.073978103132062,4.176009654998779,1926100,1.4159182792431668
2020-01-09 00:00:00+08:00,4.234314028022839,4.270754047148064,4.1395702563114725,4.154146194458008,2261100,-0.523549089849451
2020-01-10 00:00:00+08:00,4.146859300421562,4.168723038634338,4.110419273376465,4.110419273376465,1447000,-1.0526091050882758
2020-01-13 00:00:00+08:00,4.124993324279785,4.154145193548938,4.124993324279785,4.124993324279785,907800,0.3545636085768189
2020-01-14 00:00:00+08:00,4.154146072036541,4.190586090087891,4.1322823392199455,4.190586090087891,2014300,1.5901302293515274
2020-01-15 00:00:00+08:00,4.197874747928927,4.241602566446794,4.190586604417044,4.219738483428955,5995200,0.6956638693098149
2020-01-16 00:00:00+08:00,4.227026169638111,4.241602107567162,4.176010213127546,4.23431396484375,1876500,0.3454119602916972
2020-01-17 00:00:00+08:00,4.2343142775452485,4.263466155556199,4.219738338539773,4.241602420806885,2850900,0.1721283783783889
2020-01-20 00:00:00+08:00,4.241602566446794,4.256178505952749,4.183298460905161,4.219738483428955,876800,-0.515464091369755
2020-01-21 00:00:00+08:00,4.212450274102538,4.212450274102538,4.124994298130313,4.139570236206055,1527500,-1.8998392326378455
2020-01-22 00:00:00+08:00,4.081266218878001,4.110418093136449,4.059402486943042,4.073978424072266,3433600,-1.5845077723310785
2020-01-23 00:00:00+08:00,4.08855482018855,4.10313075895409,4.052114799515804,4.059402942657471,2466100,-0.35777021617668936
2020-01-24 00:00:00+08:00,4.066690738281345,4.081266677046885,4.0375388607502645,4.059402942657471,1379000,0.0
2020-01-28 00:00:00+08:00,4.001099109649658,4.00838725328236,3.964659434039599,4.001099109649658,3010900,-1.4362662152884065
2020-01-29 00:00:00+08:00,3.986523169902071,4.030251336662648,3.971947230154485,4.001099109649658,1017300,0.0
2020-01-30 00:00:00+08:00,3.979235596038104,4.001099333121724,3.920931833791336,3.9355077743530273,5961600,-1.6393329307549775
2020-01-31 00:00:00+08:00,3.920931465373208,3.950083343757426,3.884491443634033,3.884491443634033,4123000,-1.2963087267025108
2020-02-03 00:00:00+08:00,3.8626274113239263,3.8844911446704815,3.8407633304595943,3.8407633304595943,1576200,-1.1257101169858785
2020-02-04 00:00:00+08:00,3.877203287334372,3.928218896004946,3.862627349497384,3.920931100845337,2033200,2.08728743450457
2020-02-05 00:00:00+08:00,3.920931397203702,3.986522948668914,3.913643253975458,3.964659214019776,1738700,1.115248191048579
2020-02-06 00:00:00+08:00,3.993810674523047,4.022962549353906,3.971946594641023,4.008386611938477,1493200,1.1029295472375633
2020-02-07 00:00:00+08:00,3.9792355755666,4.059403422002394,3.971947431564331,3.971947431564331,2051200,-0.9090734976914594
2020-02-10 00:00:00+08:00,3.9500836945931903,4.00838745654001,3.9500836945931903,3.971947431564331,1000100,0.0
2020-02-11 00:00:00+08:00,3.957371216115801,4.001099034537666,3.920931541189818,3.9427952766418457,717600,-0.7339511769672069
2020-02-12 00:00:00+08:00,3.964659434039599,4.0229631930299465,3.942795350659311,4.001099109649658,1736500,1.4787436049043645
2020-02-13 00:00:00+08:00,3.979234641368475,4.001098373206705,3.971946499077231,3.986522436141968,1235300,-0.3643167316834228
2020-02-14 00:00:00+08:00,3.971946904723784,4.022962863419391,3.964659109206004,4.015675067901611,1448900,0.7312797614116961
2020-02-17 00:00:00+08:00,4.0156746577891935,4.030250594853931,3.979234641368475,3.986522436141968,480200,-0.7259708832686229
2020-02-18 00:00:00+08:00,3.9938111305236816,4.015675212902077,3.971947048145286,3.9938111305236816,753200,0.18283339673781374
2020-02-19 00:00:00+08:00,4.008386611938477,4.052114424184765,3.993810674523047,4.008386611938477,1025900,0.36495169497121616
2020-02-20 00:00:00+08:00,4.008387069603345,4.022963008683009,3.9792351914440176,3.9938111305236816,440600,-0.3636246406817034
2020-02-21 00:00:00+08:00,3.979234444555656,3.979234444555656,3.840762875530578,3.8553388118743896,5306000,-3.4671724356463263
2020-02-24 00:00:00+08:00,3.84805191390028,3.84805191390028,3.789747807424823,3.811611890792847,2532600,-1.1341913957565564
2020-02-25 00:00:00+08:00,3.811611890792847,3.855339710011077,3.8043237471642337,3.811611890792847,2087400,0.0
