Date,Open,High,Low,Price,Vol,Change%
2020-01-02 00:00:00+08:00,0.1900164515001242,0.1979338080701281,0.1860577791140094,0.1939751356840133,77005900,
2020-01-03 00:00:00+08:00,0.1939751326191122,0.197933804942678,0.1860577761742063,0.1900164484977722,45590700,-2.040821970445661
2020-01-06 00:00:00+08:00,0.1860577761742063,0.1939751326191122,0.1820991038506405,0.1900164484977722,62304100,0.0
2020-01-07 00:00:00+08:00,0.1939751326191122,0.197933804942678,0.1900164484977722,0.1900164484977722,26118000,0.0
2020-01-08 00:00:00+08:00,0.1860577761742063,0.1939751326191122,0.1820991038506405,0.1900164484977722,32931500,0.0
2020-01-09 00:00:00+08:00,0.1900164484977722,0.1939751326191122,0.1860577761742063,0.1900164484977722,36602500,0.0
2020-01-10 00:00:00+08:00,0.1900164484977722,0.1939751326191122,0.1860577761742063,0.1900164484977722,14689500,0.0
2020-01-13 00:00:00+08:00,0.1900164484977722,0.1939751326191122,0.1860577761742063,0.1900164484977722,6983200,0.0
2020-01-14 00:00:00+08:00,0.1900164484977722,0.1939751326191122,0.1860577761742063,0.1900164484977722,17750000,0.0
2020-01-15 00:00:00+08:00,0.186057761311531,0.1939751171239822,0.182099089304192,0.186057761311531,130021900,-2.0833392148614904
2020-01-16 00:00:00+08:00,0.19001643331887,0.19001643331887,0.182099089304192,0.186057761311531,46361100,0.0
2020-01-17 00:00:00+08:00,0.186057761311531,0.1939751171239822,0.182099089304192,0.186057761311531,133463100,0.0
2020-01-20 00:00:00+08:00,0.186057761311531,0.19001643331887,0.182099089304192,0.186057761311531,23695600,0.0
2020-01-21 00:00:00+08:00,0.1900164641271277,0.1900164641271277,0.1820991188287735,0.1820991188287735,22965300,-2.1276416822672894
2020-01-22 00:00:00+08:00,0.1820991188287735,0.1860577914779506,0.1781404343818212,0.1820991188287735,38617200,0.0
2020-01-23 00:00:00+08:00,0.1820991007963125,0.18605777305348,0.1741817444842036,0.1781404167413711,60630600,-2.173927096882189
2020-01-24 00:00:00+08:00,0.1781404167413711,0.1820991007963125,0.1741817444842036,0.1781404167413711,42358800,0.0
2020-01-28 00:00:00+08:00,0.1741817444842036,0.1781404167413711,0.1702230722270362,0.1781404167413711,41780600,0.0
2020-01-29 00:00:00+08:00,0.1741817444562912,0.1781404167128243,0.1702230721997581,0.1741817444562912,45880500,-2.2222201774834804
2020-01-30 00:00:00+08:00,0.1741817444562912,0.1781404167128243,0.1702230721997581,0.1741817444562912,19320600,0.0
2020-01-31 00:00:00+08:00,0.174181741145311,0.174181741145311,0.1662643849849701,0.1662643849849701,50593200,-4.54545882292956
2020-02-03 00:00:00+08:00,0.1662643696140383,0.1662643696140383,0.1551800790929539,0.1623056977987289,67256700,-2.3809592093935628
2020-02-04 00:00:00+08:00,0.1623057128036865,0.1702230689640274,0.1623057128036865,0.1662643849849701,48149800,2.439031555842397
2020-02-05 00:00:00+08:00,0.1702230721712112,0.1702230721712112,0.1623057158616988,0.1702230721712112,17513200,2.380959209393496
2020-02-06 00:00:00+08:00,0.166264388117568,0.1781404166829496,0.166264388117568,0.1702230721712112,73940500,0.0
2020-02-07 00:00:00+08:00,0.1702230721712112,0.1741817444270804,0.166264388117568,0.1702230721712112,20204300,0.0
2020-02-10 00:00:00+08:00,0.1702230689640274,0.1702230689640274,0.1662643849849701,0.1662643849849701,6288900,-2.3255879098806442
2020-02-11 00:00:00+08:00,0.1662643849849701,0.1702230689640274,0.1662643849849701,0.1662643849849701,8550100,0.0
2020-02-12 00:00:00+08:00,0.166264388145451,0.1741817444562912,0.166264388145451,0.1741817444562912,33477300,4.761909456458047
2020-02-13 00:00:00+08:00,0.1702230721712112,0.1741817444270804,0.166264388117568,0.1702230721712112,38928000,-2.2727251339897947
2020-02-14 00:00:00+08:00,0.1702230721712112,0.1741817444270804,0.166264388117568,0.1702230721712112,11200700,0.0
2020-02-17 00:00:00+08:00,0.1702230689640274,0.1702230689640274,0.1662643849849701,0.1662643849849701,2420800,-2.3255879098806442
2020-02-18 00:00:00+08:00,0.1702230689640274,0.174181741145311,0.1662643849849701,0.1662643849849701,24220800,0.0
2020-02-19 00:00:00+08:00,0.1702230721712112,0.1741817444270804,0.166264388117568,0.1702230721712112,29116600,2.380959209393496
2020-02-20 00:00:00+08:00,0.1702230721712112,0.1702230721712112,0.166264388117568,0.1702230721712112,3870100,0.0
2020-02-21 00:00:00+08:00,0.1702230721712112,0.1741817444270804,0.166264388117568,0.1702230721712112,20980000,0.0
2020-02-24 00:00:00+08:00,0.1662643849849701,0.1662643849849701,0.1623057128036865,0.1662643849849701,35832600,-2.3255879098806442
2020-02-25 00:00:00+08:00,0.1662643849849701,0.1662643849849701,0.1623057128036865,0.1662643849849701,13684700,0.0
2020-02-26 00:00:00+08:00,0.1623056977987289,0.1662643696140383,0.1583470259834195,0.1623056977987289,32123600,-2.3809592093935628
