Date,Open,High,Low,Price,Vol,Change%
2020-01-02 00:00:00+08:00,3.113030507134355,3.1680589585958043,3.0973081459811778,3.152336597442627,4410600,
2020-01-03 00:00:00+08:00,3.1601977580319693,3.1601977580319693,3.1130306720733643,3.1130306720733643,3997500,-1.2468822460504403
2020-01-06 00:00:00+08:00,3.105169382922945,3.105169382922945,3.0815858407650896,3.089447021484375,2616700,-0.7575784845474054
2020-01-07 00:00:00+08:00,3.120891359249453,3.160197257995605,3.105168999750992,3.160197257995605,5437900,2.2900614905911887
2020-01-08 00:00:00+08:00,3.128752904365593,3.2230870723724365,3.120891723698356,3.2230870723724365,12238300,1.9900597729370917
2020-01-09 00:00:00+08:00,3.223087487953866,3.223087487953866,3.1759203978687705,3.1916427612304688,9489700,-0.9755960802766195
2020-01-10 00:00:00+08:00,3.207365124592167,3.207365124592167,3.1759203978687705,3.1916427612304688,4656000,0.0
2020-01-13 00:00:00+08:00,3.1916422258843684,3.1916422258843684,3.152336511498373,3.1680588722229004,5083600,-0.7389263389388834
2020-01-14 00:00:00+08:00,3.1837810370101622,3.238809108734131,3.175919669706381,3.238809108734131,8524600,2.2332361665232447
2020-01-15 00:00:00+08:00,3.238809202443173,3.238809202443173,3.207364482019502,3.230948209762573,4340500,-0.24270954871528083
2020-01-16 00:00:00+08:00,3.230948427131776,3.285976504150017,3.215226065862184,3.278115510940552,4512100,1.4598594008860877
2020-01-17 00:00:00+08:00,3.2781150947886184,3.3252821726096027,3.2781150947886184,3.301698446273804,6710400,0.7194052575189902
2020-01-20 00:00:00+08:00,3.309560146577581,3.309560146577581,3.270254057010366,3.293837785720825,2459300,-0.23807930012053058
2020-01-21 00:00:00+08:00,3.2938375553087247,3.2938375553087247,3.238809108734131,3.238809108734131,1975400,-1.6706553439046146
2020-01-22 00:00:00+08:00,3.2466708669519067,3.2545318603515625,3.2309485053019253,3.2545318603515625,5085500,0.4854485426458721
