Ticker,Date,Sector,Industry,Open,High,Low,Price,Vol,Change%,Return_1M,Return_3M,Return_6M,Return_1Y,Volatility,RSI_14,SMA_50,SMA_200,Price_to_SMA50,Price_to_SMA200,Avg_Volume_3M,Volume_Trend,Max_Drawdown,Sharpe_Ratio,Market_Cap,PE_Ratio,EPS,Revenue_Growth,Profit_Margin,Dividend_Yield,Payout_Ratio,Debt_to_Equity,ROE,Factor_Score,Sector_Basic Materials,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Utilities,ML_Probability,ML_Prediction,Factor_Rank,ML_Rank,Confidence,Factor_Score_Norm,Combined_Score,Company_Name,Confidence_Order
BS6.SI,2024-12-30 00:00:00+08:00,Industrials,Aerospace & Defense,2.7737333400803377,2.811599969863892,2.7453333677426723,2.811599969863892,16635200,1.3651850143559408,0.2272726941593867,0.2122448946025743,0.2172131016404044,1.0846309202356386,0.3756951855467945,69.13768965166881,2.5058266639709474,2.2153736782073974,1.1220249230680586,1.2691312519967015,29535866.33333333,0.5632203170294684,0.0,2.141786399970868,15821068288,9.804878,0.41,0.158,0.303,2.99,0.3041,17.05,0.29443002,64.98210954829572,False,False,False,False,False,False,True,False,False,False,0.6848524481655563,1,5,1,HIGH,0.881423289995817,0.7831378690806867,YZJ Shipbldg SGD,0
D05.SI,2024-12-30 00:00:00+08:00,Financial Services,Banks - Regional,41.04973223029553,41.3325080871582,40.98375131688391,41.3325080871582,2347200,0.6888710465814407,0.0378698926541885,0.1671638347190196,0.216023689584293,0.5480735572432096,0.1706823419655184,59.77779154663586,39.45006584167481,34.44181719779968,1.0477170875465256,1.2000675762775588,4300665.698412699,0.5457759715818672,-0.0103813848032813,2.647307041756888,162877046784,15.026178,3.82,-0.033,0.4945,5.33,0.7461,49.719,0.15875,70.08359901290463,False,False,False,False,True,False,False,False,False,False,0.50884128542489,1,1,12,LOW,1.0,0.754420642712445,DBS Group Holdings,2
S68.SI,2024-12-30 00:00:00+08:00,Financial Services,Financial Data & Stock Exchanges,12.156807353257443,12.166501998901367,12.108335049570131,12.166501998901367,1180600,0.4000023609638026,-0.0225857546311002,0.1162113408804343,0.3517637985049489,0.3303437839298875,0.1561196620571912,56.842728001428526,11.72549798965454,10.061023359298709,1.037610684820033,1.2092708230974052,2321552.698412698,0.5085389622243789,-0.023346362780128,1.9067037113281644,20642729984,31.606558,0.61,0.079,0.45676997,2.28,0.64769995,29.888,0.30133,69.95916917844106,False,False,False,False,True,False,False,False,False,False,0.35622029999382404,0,2,32,LOW,0.9971078092977722,0.6766640546457982,SGX,2
AIY.SI,2024-12-30 00:00:00+08:00,Technology,Software - Application,7.309765338897705,7.329574981863587,7.280050638299309,7.309765338897705,229600,0.0,-0.0027027109666478,0.013072401649524,0.005617732083307,-0.0758568150642856,0.2553331579589539,41.8401631775146,7.37662745475769,7.132418403625488,0.9909359505722548,1.024864909100407,586004.7619047619,0.3918056898611258,-0.1079912801323807,-0.1821850703727158,2669386752,27.46875,0.32,0.457,0.19431,1.14,0.2313,41.919,0.28024,63.848211541022074,False,False,False,False,False,False,False,False,True,False,0.48945840972520627,0,7,17,LOW,0.855067478400876,0.6722629440630412,iFAST Corporation,2
Z74.SI,2024-12-30 00:00:00+08:00,Communication Services,Telecom Services,2.9715030193328857,2.9810885040970825,2.961917534568689,2.9715030193328857,9661900,0.0,0.0163933289872444,-0.0160994539967557,0.1467043142271564,0.2958690167994016,0.1833593295779844,49.859222778637424,2.9674582195281984,2.687561572790146,1.0013630519810084,1.1056502107402737,22917000.26984127,0.4216040444313754,-0.0624006657403054,1.5055690844538063,85879693312,14.081081,0.37,0.009,0.47967,2.51,0.3325,41.804,0.13003999,62.46173341187579,False,True,False,False,False,False,False,False,False,False,0.5070900870951537,1,8,13,LOW,0.822840808878679,0.6649654479869164,Singtel,2
1D0.SI,2024-12-30 00:00:00+08:00,Consumer Cyclical,Restaurants,0.3030866980552673,0.3030866980552673,0.2984944525476443,0.3030866980552673,186900,0.0,0.0153846737538603,0.0153846737538603,0.0312501204150754,0.1206355398055341,0.2012350107238091,58.73343344351649,0.2966575646400451,0.287014626711607,1.021671901146438,1.0559973947244492,173311.11111111112,1.078407488139505,0.0,0.6660638201970208,485516352,13.0,0.03,0.012,0.10325,5.13,0.7491,73.889,0.18847,54.80260088256054,False,False,True,False,False,False,False,False,False,False,0.6041771229335029,1,27,4,LOW,0.644815402159184,0.6244962625463435,Raffles Medical Group,2
O39.SI,2024-12-30 00:00:00+08:00,Financial Services,Banks - Regional,15.59629234912702,15.73764991760254,15.549174357925947,15.73764991760254,4092100,1.089593435632663,0.0257984985360009,0.1059602924185114,0.1643817261298747,0.3742889281616637,0.1386807565873478,57.80810372285452,15.209919891357425,13.749266958236694,1.0346964369315963,1.1446173796323504,5323851.603174604,0.7686352485031491,-0.0176470994432381,2.3632899017316844,95971524608,13.11043,1.63,0.065,0.53208,3.93,0.50310004,49.719,0.12198,66.68189914595274,False,False,False,False,True,False,False,False,False,False,0.2902494416179863,0,4,41,LOW,0.9209324293536015,0.6055909354857939,OCBC Bank,2
U11.SI,2024-12-30 00:00:00+08:00,Financial Services,Banks - Regional,33.833370110983864,34.10538864135742,33.76771095925996,34.10538864135742,1738900,0.9439171919903178,-0.0038356768195202,0.130245671832645,0.1835320487422531,0.3569279794171833,0.156066733657564,52.447777927746586,33.13400485992432,29.584129037857057,1.0293168237748402,1.152827199939359,2503589.8412698414,0.6945626521307562,-0.0265060154380147,2.034294201654166,61552209920,13.52,2.75,-0.018,0.39793,3.82,0.6436,49.719,0.09255999,64.79442559378977,False,False,False,False,True,False,False,False,False,False,0.32433359220578717,0,6,36,LOW,0.8770608491831323,0.6006972206944597,United Overseas Bank,2
AJBU.SI,2024-12-30 00:00:00+08:00,Real Estate,REIT - Office,2.085391044616699,2.094913368823757,2.0663463962025834,2.085391044616699,2120800,0.4587206540525024,-0.0309733513251218,0.0269698698846785,0.251272514250114,0.2233635881675297,0.232277432441821,51.24597825036498,2.100783104896545,1.85298603951931,0.9926731797090474,1.1254218866957455,8358989.095238095,0.2537148901424176,-0.055709870662121,0.983096934693776,5646854144,12.157894,0.19,0.503,0.96932,4.48,0.3168,56.505,0.11354,67.10948096184704,False,False,False,False,False,False,False,True,False,False,0.2665001452947826,0,3,45,LOW,0.9308709473762488,0.5986855463355156,Keppel Infrastructure Trust,2
QC7.SI,2024-12-30 00:00:00+08:00,Healthcare,Medical Care Facilities,0.2687902450561523,0.2687902450561523,0.2687902450561523,0.2687902450561523,54500,0.0,-0.0175439208031235,-0.0175439208031235,0.1597257194790975,0.1399559430245998,0.3171360609441524,47.66573339384437,0.2767579668760299,0.2531320035457611,0.9712105060251196,1.0618580080395108,433765.07936507935,0.1256440469568781,-0.1111111111111113,0.5694129735898863,529632320,56.0,0.01,0.185,0.04721,1.46,1.1223999,138.767,0.081190005,48.816003667327415,False,False,False,False,False,True,False,False,False,False,0.6750525848734996,1,44,2,LOW,0.5056656485769783,0.5903591167252389,Cordlife Group,2
