Ticker,Company_Name,SHAP_Open,SHAP_High,SHAP_Low,SHAP_Price,SHAP_Vol,SHAP_Change%,SHAP_Return_1M,SHAP_Return_3M,SHAP_Return_6M,SHAP_Return_1Y,SHAP_Volatility,SHAP_RSI_14,SHAP_SMA_50,SHAP_SMA_200,SHAP_Price_to_SMA50,SHAP_Price_to_SMA200,SHAP_Avg_Volume_3M,SHAP_Volume_Trend,SHAP_Max_Drawdown,SHAP_Sharpe_Ratio,SHAP_Market_Cap,SHAP_PE_Ratio,SHAP_EPS,SHAP_Revenue_Growth,SHAP_Profit_Margin,SHAP_Dividend_Yield,SHAP_Payout_Ratio,SHAP_Debt_to_Equity,SHAP_ROE,ML_Probability,SHAP_Sum,SHAP_Reconstructed
1D0.SI,Raffles Medical Group,0.01719309397329198,0.020377169482981117,0.02297778621672478,0.01562120738500198,-0.0021555026393070874,0.011503588877667425,0.0046022753965917216,0.0067286535339189865,0.007627740148709563,-0.002767275612841331,-0.0019870558038564924,-0.00031120547782848007,0.015542565229789035,0.011020188195143419,0.0024088603972450074,-0.00036544557277011334,0.03110783609265127,0.005673352234352933,0.012271201300081884,0.002717544955539779,-0.010234536434918482,0.0016580181177505437,-0.025827512100804598,-0.0036278412229876268,0.011127260464199935,-0.008567805036927894,-0.0049500592330878135,0.0011459228062176408,0.007116403238396743,0.5367716561013378,0.14762642891092584,0.5367716602038746
1J4.SI,Koufu Group,-0.0008330403602849401,0.011145033929042257,0.009748599079557607,0.009369198385575145,-0.006350419202371995,0.004115261270690098,0.005636122254563816,-0.013683415816940396,-0.026509544550026475,-0.006991690259856114,0.012347142641992832,-0.005609016074922693,0.03131560251584233,0.002776818280271982,-0.0035023358066337096,-0.021391333478040907,0.038598436713582485,-0.011685935435943975,-0.008681505617932999,-0.00769338350120961,-0.00930081997868001,-0.0020927549722546245,-0.018355081968165904,-0.006345344938981725,0.009163520457823324,0.006335963356632419,0.002549993849170278,0.0034630208114595005,-0.01321819225667241,0.37346613080709223,-0.01567910067271442,0.37346613062023426
42R.SI,Jumbo Group Limited,0.012610615266521564,0.006806543480088294,0.015022247566976147,0.010282611208576781,0.0027190218112900766,0.007580397790770803,0.008145659088695538,0.002603047246384449,0.007422726145159686,-0.009392155562727567,0.0037308024369667693,0.000575492988973565,0.044130879338754314,0.027149071979893052,0.0027957155826425152,-0.0002467393226834247,0.009429236251198745,-0.0077027572559927645,0.011947848860909289,-0.007243250032743163,-0.009202207626003656,0.0007531347042140624,-0.025092374573387134,0.0002826789816390374,0.004479170941158373,0.006250395112128899,-0.004782755433079728,-0.011408846146932774,0.0006983240751833364,0.49948976568550835,0.11034453490457509,0.4994897661975238
546.SI,Medtecs International Corporation Limited,0.01775963191918436,0.04077835890902861,0.03254469501349377,0.038770357584116934,-0.006105651440748261,0.005841157810446021,0.0011531433077379915,-0.008699225527689123,-0.01054610534072708,-0.004748664421831563,0.00174901601008969,-0.003400534461325151,0.03900181777216858,0.01990444044342439,-0.0041073243796836325,-0.007199706143437652,-0.0033749252094639813,-0.0011869208022244494,-0.0018724503253088186,-0.007954514370503603,-0.005173100410020197,-0.012030893184064553,-0.013542893892226857,0.0015292473593399335,0.0014432004251102625,-0.014334245607642515,0.0004009727256379847,0.0016658785463823733,-0.028208214348728687,0.45920177851098787,0.07005654796053476,0.4592017792534835
5DD.SI,Micro-Mechanics Holdings,-0.007200905573663477,-0.009489707206666935,-0.0015117928059771657,-0.0017019222819544665,0.0037139903390288964,0.011704555306059773,-0.0020232818433942156,-0.0009659720878426015,-0.0074424504457238074,-0.0062179738936811195,0.003315930572571233,-0.006776111196741113,-0.005489406176029661,-0.0026808855539457,-0.0017542202371805616,-0.007870628912569374,0.03723608260792389,0.0025854698392140563,-0.006758751906218095,-0.002605285897534486,0.0027824174063425743,-0.0053293739487162385,-0.01966961471722243,0.005035491290873324,0.01868389831563036,0.006187270870468637,-0.004749418189348944,0.010033014855780493,0.03390191060156212,0.42408755805626286,0.03494232913104497,0.42408756042399365
5OI.SI,Japan Foods Holding,0.012607773437430296,0.022692733167768892,0.01733913381014645,0.013897430839597292,0.004252436949846014,0.005940072156772658,0.016597052394536148,0.00599750648686495,0.007078528495758292,-0.006317351504039834,9.393320424351259e-05,0.006371098804556823,0.025414576298608153,0.016450019117983175,0.005600900633889978,0.010023554570652777,0.031663885760335686,-0.016378948895990106,-0.0024045076994389093,-0.0022152099954837468,0.0005241671572366613,-0.00316792649544368,-0.017880178705108846,-0.00753988184089394,0.004423657956740499,0.004094043724144285,0.002343491916963103,-0.011876662061395109,-0.017626305455778493,0.5171442520397015,0.12799902423050297,0.5171442555234517
9CI.SI,CapitaLand Investment,0.00752142269475371,0.015239848730325321,0.0009004812735474843,-0.0002901069537074363,0.002772144583213958,0.007352155336775468,0.00016288978511511232,0.021624991220160154,0.0013310155729777762,-0.003364954089483945,0.0018602950277090712,0.019854096683684475,-0.002772097971337644,-0.0006710271497104258,0.014617493793939501,0.017935003581987984,-0.01005468171722896,0.008249877237121837,-0.006103281076539133,0.005921651479329739,0.011534971902310644,0.023165721287732595,-0.013349272108607693,0.006098731811580365,0.02017351979335217,0.010539075511769625,0.001559788764661789,0.0013749511498645007,-0.00833334217162701,0.543996592795287,0.15485136398367103,0.5439965952766197
A17U.SI,Ascendas Real Estate Investment Trust,-0.0152510282809817,-0.004241541421233706,-0.013872730057373701,-0.01176625292870085,-0.004241134585026884,-0.002633275125917862,0.002699763729397091,0.006119816291341067,-0.0011503338445800182,-0.01010761840170744,0.0024953859011475287,0.0059731223351991505,-0.013396290116106683,-0.00928511286738285,0.004180755438555934,0.023593089938094634,-0.020968923577092936,0.005468893883435157,-0.0031406175196025286,0.00274013763453695,0.0006232381369409268,-0.015133782469383732,-0.031117712374157235,-0.0044905129435210255,-0.06216200863920676,0.00674018646353943,-0.013304757490896008,-0.00128804414645856,-0.03930300377571257,0.17292494152608306,-0.21622029081285515,0.17292494048009355
A50.SI,Thomson Medical Group,0.0145323809845695,0.03287999519992809,0.026221376397352288,0.03030492212083118,0.005762957122042281,0.01053239579867295,0.00555439638163989,-0.007392071080585083,-0.006011087770793892,0.0032377242295342514,-0.0023298609718312947,0.0003030377511095139,0.040010115345721714,0.022720834419887977,-0.0003598194842925295,-0.011537983397774952,0.0016908172954572364,-0.004295956469240992,-0.004337584345921641,-0.0035284022033920336,-0.005979900753327456,-0.010582707296616718,-0.021106288062483144,-0.00034333864618020017,-0.0019305984786842601,-0.013063247465906898,-0.0037802987785926236,-0.026004219799888234,-0.03078255982599785,0.4295302615195959,0.04038502821523708,0.4295302595081858
AIY.SI,iFAST Corporation,-0.013305345547223624,-0.037089428658619,-0.01663932894956815,-0.026687821135437842,0.0073328845329706386,0.005681445610389346,0.005949343481624965,0.001073295715632412,-0.001882860611895012,0.0021280039816338105,-0.009963637881310206,0.01840394889273739,-0.026716692505815445,-0.012748631880804169,0.010270490240927757,-0.0012185136459811473,0.025873701873715616,0.00914281739414946,-0.0006560498087856103,0.004303060103848111,0.004517953887589101,0.009449806076845561,0.025661496349184746,0.014956603524078673,0.014617824521264993,0.0035260872305661905,0.012446338759273203,0.0020015574349235977,0.045755072189276685,0.465328651609916,0.07618342117519206,0.46532865246814076
