Open,High,Low,Price,Vol,Change%,Return_1M,Return_3M,Return_6M,Return_1Y,Volatility,RSI_14,SMA_50,SMA_200,Price_to_SMA50,Price_to_SMA200,Avg_Volume_3M,Volume_Trend,Max_Drawdown,Sharpe_Ratio,Market_Cap,PE_Ratio,EPS,Revenue_Growth,Profit_Margin,Dividend_Yield,Payout_Ratio,Debt_to_Equity,ROE,Sector,Industry,Ticker,Snapshot_Date,Quarter,Forward_Return_6M,Label,Threshold,Sector_Basic Materials,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Utilities
0.1351412549196834,0.1395721137523651,0.1351412549196834,0.1395721137523651,142000,-0.5263016479357563,-0.1599998349868131,,,,,26.80497745121332,0.1615871250629424,,0.8637576397129293,,406498.4126984127,0.3493248572789678,-0.2124998497141288,,485516352,13.0,0.03,0.012,0.10325,5.13,0.7491,73.889,0.18847,Consumer Cyclical,Restaurants,1D0.SI,2020-03-31,2020-Q1,0.36620791956377363,1,0.35567652010123,False,False,True,False,False,False,False,False,False,False
0.1500000059604644,0.1519999951124191,0.1500000059604644,0.1519999951124191,169000,1.333326048321526,-0.2761904768662656,,,,,29.745414897921023,0.2019999998807907,,0.7524752237728769,,443352.38095238095,0.3811866300051555,-0.3666666728754839,,115646728,28.0,0.01,-0.103,0.06229,3.09,0.0,19.367,0.040939998,Industrials,Aerospace & Defense,1J4.SI,2020-03-31,2020-Q1,0.16447372871278396,0,0.35567652010123,False,False,False,False,False,False,True,False,False,False
0.1862988568178085,0.1862988568178085,0.1765403516281004,0.1818631738424301,1544800,0.0,-0.3387096249836502,,,,,29.758839187587697,0.2594877013564109,,0.7008546952005166,,408946.0317460318,3.7775155645950096,-0.464494400736857,,165375696,27.500002,0.01,-0.004,0.04551,2.73,0.7143,113.949,0.14774,Consumer Cyclical,Restaurants,42R.SI,2020-03-31,2020-Q1,0.43902441622364485,1,0.35567652010123,False,False,True,False,False,False,False,False,False,False
0.076142515681939,0.0806214895482369,0.076142515681939,0.0779341012239456,33826300,2.352941752061599,-0.0645161434569716,,,,,54.773752468160566,0.0857454270869493,,0.9089009626707824,,64302347.61904762,0.5260507781208906,-0.5561224420514035,,61574968,36.9000005,-1.14,0.471,-0.06126,1.155,0.0,21.31,-0.04631,Healthcare,Medical Instruments & Supplies,546.SI,2020-03-31,2020-Q1,12.676313639456767,1,0.35567652010123,False,False,False,False,False,True,False,False,False,False
1.1580860605079124,1.189385653511863,1.1580860605079124,1.1737358570098877,11300,1.3513499603179824,-0.1017965601379249,,,,,43.44003742525221,1.31429767370224,,0.8930517648285838,,46314.28571428572,0.243985194324491,-0.2178878385892445,,268331536,19.3,0.1,0.145,0.19429001,3.11,0.6309,4.297,0.26204002,Technology,Semiconductor Equipment & Materials,5DD.SI,2020-03-31,2020-Q1,0.5200001828151708,1,0.35567652010123,False,False,False,False,False,False,False,False,True,False
0.2512015402317047,0.2512015402317047,0.2512015402317047,0.2512015402317047,0,0.0,-0.2682926935133035,,,,,30.88876085168017,0.3160952639579772,,0.7947020056115117,,11566.666666666666,0.0,-0.3478261037768083,,19973914,17.833334,-0.05,-0.152,-0.12401,3.93,0.0,172.475,-0.41544,Consumer Cyclical,Restaurants,5OI.SI,2020-03-31,2020-Q1,0.09101647007180631,0,0.35567652010123,False,False,True,False,False,False,False,False,False,False
1.9868038750889463,2.052063703536988,1.9868038750889463,2.052063703536988,29636720,4.428053906215701,-0.0900320683335035,,,,,48.12327556812004,2.227498698234558,,0.9212412582612892,,21329152.14285714,1.3894935814373173,-0.1797101521099567,,11852717056,15.117646,0.17,0.063,0.4954,3.32,0.89419997,73.536,0.07369,Real Estate,REIT - Industrial,A17U.SI,2020-03-31,2020-Q1,0.17588924058023073,0,0.35567652010123,False,False,False,False,False,False,False,True,False,False
0.0439242757856845,0.0449003691062335,0.0429481788288984,0.0439242757856845,3148700,0.0,-0.1964285373524621,,,,,35.61641338143234,0.0533143084496259,,0.8238740605101614,,11810557.142857144,0.2666004627820872,-0.3283581996030824,,1533581824,36.9000005,-0.0,0.069,-0.09567001,1.155,0.0,195.534,-0.07532,Healthcare,Medical Care Facilities,A50.SI,2020-03-31,2020-Q1,0.0666667062454372,0,0.35567652010123,False,False,False,False,False,True,False,False,False,False
0.7442427725233165,0.7489235401153564,0.7395620049312766,0.7489235401153564,172200,0.6289362575253366,-0.1999997962569991,,,,,34.54990963002162,0.8973038232326508,,0.83463763412627,,156379.3650793651,1.1011683025609271,-0.2727270412011206,,2669386752,27.46875,0.32,0.457,0.19431,1.14,0.2313,41.919,0.28024,Technology,Software - Application,AIY.SI,2020-03-31,2020-Q1,1.9975487176450637,1,0.35567652010123,False,False,False,False,False,False,False,False,True,False
1.750209657291746,1.7734425067901611,1.726976807793331,1.7734425067901611,8491700,2.690612025586936,-0.0129308740417325,,,,,55.83707956254745,1.7699206161499024,,1.0019898579677091,,8364949.380952381,1.015152586498161,-0.0948615720616477,,5646854144,12.157894,0.19,0.503,0.96932,4.48,0.3168,56.505,0.11354,Real Estate,REIT - Office,AJBU.SI,2020-03-31,2020-Q1,0.28553173772111234,0,0.35567652010123,False,False,False,False,False,False,False,True,False,False
