Model,CV_Accuracy_Mean,CV_Accuracy_Std,CV_Precision_Mean,CV_Precision_Std,CV_Recall_Mean,CV_Recall_Std,CV_F1_Mean,CV_F1_Std,CV_ROC_AUC_Mean,CV_ROC_AUC_Std,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,Generalization_Gap,CV_vs_Baseline,Test_vs_Baseline,Rank
Logistic Regression,0.4779116465863454,0.0497570750737505,0.3092278729035995,0.013957902391092998,0.5656410256410256,0.06580508344521785,0.39755239181351093,0.009016980933449895,0.5299726992104487,0.018574485218546984,0.45535714285714285,0.3291139240506329,0.7647058823529411,0.46017699115044247,0.6267911010558069,-0.09681840184535828,-5.23%,+10.11%,1
Gradient Boosting,0.6365461847389559,0.0525935777257381,0.38032288698955363,0.07163415788988828,0.24897435897435896,0.0603158463003247,0.29253227408143,0.039380101376931785,0.5815169776785022,0.06739007485833558,0.6473214285714286,0.358974358974359,0.20588235294117646,0.2616822429906542,0.5420437405731523,0.03947323710534989,-0.07%,+1.63%,2
RF - Tuned,0.608433734939759,0.06394250332566527,0.36527777777777776,0.0830783134929899,0.3623076923076923,0.06994785321670172,0.3629162191192266,0.07545179979076827,0.6084643305877426,0.08108480630935623,0.5982142857142857,0.328125,0.3088235294117647,0.3181818181818182,0.5331825037707391,0.07528182681700357,+2.62%,+0.74%,3
RF - Regularized,0.5923694779116465,0.07030980481932367,0.3716049382716049,0.0788771992343866,0.447948717948718,0.05137299628089698,0.40531457033705687,0.06788200542043989,0.5966417702080135,0.07166452773102686,0.5535714285714286,0.2894736842105263,0.3235294117647059,0.3055555555555556,0.5325226244343891,0.06411914577362432,+1.44%,+0.68%,4
RF - Combined,0.608433734939759,0.06394250332566527,0.34940476190476194,0.0917606712382392,0.328974358974359,0.10615446550048482,0.3360844337735094,0.09829472486584767,0.6079061380241054,0.07746205466325536,0.5848214285714286,0.288135593220339,0.25,0.2677165354330709,0.5300716440422323,0.07783449398187314,+2.56%,+0.43%,5
Baseline RF,0.5983935742971888,0.041832663967870776,0.28019951840385277,0.09166771073868014,0.2223076923076923,0.10426979116269693,0.24270569389835447,0.09619912007476725,0.5822562706501001,0.08174914961428616,0.6294642857142857,0.3404255319148936,0.23529411764705882,0.2782608695652174,0.5257352941176471,0.05652097653245303,+0.00%,+0.00%,6
RF - Improved Features,0.6204819277108434,0.05477181404411988,0.3567096343865854,0.07428956855291483,0.28897435897435897,0.07823076502870002,0.3147563629309606,0.07214329616168233,0.5789311585772565,0.07135810777174838,0.6607142857142857,0.39473684210526316,0.22058823529411764,0.2830188679245283,0.5240384615384616,0.05489269703879496,-0.33%,-0.17%,7
AdaBoost,0.6345381526104417,0.0296482390767739,0.35037112010796223,0.03029776019254099,0.2235897435897436,0.06551670920266735,0.2666560492647449,0.05328978632091812,0.5551439883971644,0.022218572421977605,0.6651785714285714,0.3157894736842105,0.08823529411764706,0.13793103448275862,0.5180995475113123,0.037044440885852126,-2.71%,-0.76%,8
