fold,train_size,val_size,accuracy,precision,recall,f1,roc_auc
1,168,166,0.6506024096385542,0.38235294117647056,0.26,0.30952380952380953,0.6929310344827586
2,334,166,0.5481927710843374,0.2982456140350877,0.3269230769230769,0.3119266055045872,0.49797570850202433
3,500,166,0.5963855421686747,0.16,0.08,0.10666666666666667,0.5558620689655173
